dt,roc_auc_score,accuracy,precision,recall,f1_score,hit_ratio_k,ndcg_k,model
2023-08-14,0,0.2902777777777778,0.2545283343354079,0.2902777777777778,0.2188010658621224,0,0,ncf
2023-08-15,0,0.5,0.25,0.5,0.3333333333333333,0,0,ncf
2023-08-16,0,0.0,0.0,0.0,0.0,0,0,ncf
2023-08-17,0,0.07407407407407407,0.011396011396011397,0.07407407407407407,0.01975308641975309,0,0,ncf
2023-08-18,0,0.0,0.0,0.0,0.0,0,0,ncf
2023-08-19,0,0.07317073170731707,0.009279055223468157,0.07317073170731707,0.01637548290376521,0,0,ncf
2023-08-20,0,0.25555555555555554,0.22294100029949088,0.25555555555555554,0.17855321363518087,0,0,ncf
2023-08-21,0,0.648854961832061,0.6100401086815888,0.648854961832061,0.6287665729208518,0,0,ncf
2023-08-22,0,0.40540540540540543,0.4450757575757576,0.40540540540540543,0.40906728406728404,0,0,ncf
2023-08-23,0,0.0847457627118644,0.14124293785310735,0.0847457627118644,0.1059322033898305,0,0,ncf
2023-08-24,0,0.8235294117647058,0.8549019607843138,0.8235294117647058,0.8312693498452013,0,0,ncf
2023-08-25,0,0.0,0.0,0.0,0.0,0,0,ncf
2023-08-26,0,0.2682926829268293,0.5667828106852497,0.2682926829268293,0.265539541759054,0,0,ncf
2023-08-27,0,0.31746031746031744,0.19499815430047987,0.31746031746031744,0.21262981099046674,0,0,ncf
2023-08-28,0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.21428571428571427,0,0,ncf
2023-08-30,0,0.1875,0.15922619047619047,0.1875,0.16168478260869565,0,0,ncf
2023-08-31,0,0.25,0.6470588235294117,0.25,0.275328330206379,0,0,ncf
2023-09-01,0,0.22866894197952217,0.46439447171980797,0.22866894197952217,0.26748019042534454,0,0,ncf
2023-09-02,0,0.26666666666666666,0.8888888888888888,0.26666666666666666,0.41025641025641024,0,0,ncf
2023-09-03,0,0.9090909090909091,0.8333333333333335,0.9090909090909091,0.8677685950413223,0,0,ncf
2023-09-04,0,0.14754098360655737,0.8206301894826485,0.14754098360655737,0.21432849936948298,0,0,ncf
2023-09-05,0,0.0,0.0,0.0,0.0,0,0,ncf
